Kirilenko A. (Rus);2
Zhurba N. (Rus);3

Pravednov A. (Rus);2
Martyukhin S. (Rus);3

Migalov I. (Rus);1
Balakin D. (Rus);3

Girevenkov A. (Rus);2
Petrov A. (Rus);3

Minkov M. (Rus);0
Ramensky I. (Rus);3

Novikov I. (Rus);3
Korneev D. (Rus);2

Zhurba N. (Rus);3
Tsitselskii A. (Rus);1

Ilyukhin E. (Rus);3
Migalov I. (Rus);1

Kirilenko A. (Rus);-
Ivanov Va. (Rus);-

Putilovsky V. (Rus);2
Pravednov A. (Rus);3

Kirilenko A. (Rus);3
Girevenkov A. (Rus);2

Ramensky I. (Rus);3
Balakin D. (Rus);1

Korneev D. (Rus);0
Martyukhin S. (Rus);3

Tsitselskii A. (Rus);3
Petrov A. (Rus);0

Novikov I. (Rus);2
Pravednov A. (Rus);3

Zhurba N. (Rus);-
Ivanov Va. (Rus);-

Minkov M. (Rus);3
Migalov I. (Rus);2

Zhurba N. (Rus);1
Girevenkov A. (Rus);3

Martyukhin S. (Rus);3
Putilovsky V. (Rus);1

Balakin D. (Rus);3
Ilyukhin E. (Rus);1

Petrov A. (Rus);3
Kirilenko A. (Rus);1

Pravednov A. (Rus);3
Korneev D. (Rus);0

Girevenkov A. (Rus);3
Tsitselskii A. (Rus);0

Ivanov Va. (Rus);-
Tsitselskii A. (Rus);-

Migalov I. (Rus);3
Ramensky I. (Rus);2

Martyukhin S. (Rus);3
Novikov I. (Rus);0

Petrov A. (Rus);2
Zhurba N. (Rus);3

Balakin D. (Rus);2
Minkov M. (Rus);3

Korneev D. (Rus);1
Putilovsky V. (Rus);3

Tsitselskii A. (Rus);3
Kirilenko A. (Rus);0

Ramensky I. (Rus);2
Ilyukhin E. (Rus);3

Putilovsky V. (Rus);3
Novikov I. (Rus);2

Balakin D. (Rus);3
Minkov M. (Rus);2

Petrov A. (Rus);2
Tsitselskii A. (Rus);3

Martyukhin S. (Rus);1
Pravednov A. (Rus);3

Ilyukhin E. (Rus);3
Ramensky I. (Rus);2

Zhurba N. (Rus);3
Girevenkov A. (Rus);1

Chernjavskiy M. (Rus);1
Vshivkov P. (Rus);3

Shmakov A. (Rus);3
Sinkovskiy V. (Rus);0

Trushkin A. (Rus);1
Bazilevskii V. (Rus);3

Merezhko A. (Rus);0
Ovechkin S. (Rus);3

Marchenko M. (Rus);3
Nemashkalo V. (Rus);2

Vshivkov P. (Rus);1
Merezhko A. (Rus);3

Olshakov K. (Rus);3
Yanshaev A. (Rus);2

Sinkovskiy V. (Rus);1
Marchenko M. (Rus);3

Bazilevskii V. (Rus);3
Olshakov K. (Rus);0

Ovechkin S. (Rus);2
Chernjavskiy M. (Rus);3

Nemashkalo V. (Rus);1
Shmakov A. (Rus);3

Yanshaev A. (Rus);3
Trushkin A. (Rus);1

Chernjavskiy M. (Rus);1
Merezhko A. (Rus);3

Shmakov A. (Rus);1
Marchenko M. (Rus);3

Trushkin A. (Rus);3
Olshakov K. (Rus);1

Vshivkov P. (Rus);1
Ovechkin S. (Rus);3

Bazilevskii V. (Rus);3
Yanshaev A. (Rus);2

Sinkovskiy V. (Rus);3
Nemashkalo V. (Rus);1

Vshivkov P. (Rus);3
Chernjavskiy M. (Rus);2

Sinkovskiy V. (Rus);2
Nemashkalo V. (Rus);3

Trushkin A. (Rus);3
Olshakov K. (Rus);1

Bazilevskii V. (Rus);3
Yanshaev A. (Rus);1

Marchenko M. (Rus);3
Shmakov A. (Rus);0

Ovechkin S. (Rus);3
Merezhko A. (Rus);1

Molokanov A. (Rus);1
Staroverov V. (Rus);3

Glazun E. (Rus);1
Merkushin Y. (Rus);3

Demic Y. (Rus);3
Rahmanov V. (Rus);0

Suslov A. (Rus);3
Kutin V. (Rus);0

Aleksandrovskiy M. (Rus);0
Shishko Y. (Rus);3

Shirshov A. (Rus);0
Petrov V. (Rus);3

Staroverov V. (Rus);1
Suslov A. (Rus);3

Merkushin Y. (Rus);3
Aleksandrovskiy M. (Rus);2

Rahmanov V. (Rus);3
Shirshov A. (Rus);2

Kutin V. (Rus);3
Molokanov A. (Rus);1

Shishko Y. (Rus);2
Glazun E. (Rus);3

Molokanov A. (Rus);3
Suslov A. (Rus);2

Petrov V. (Rus);2
Demic Y. (Rus);3

Glazun E. (Rus);2
Aleksandrovskiy M. (Rus);3

Staroverov V. (Rus);3
Kutin V. (Rus);1

Demic Y. (Rus);3
Shirshov A. (Rus);2

Merkushin Y. (Rus);2
Shishko Y. (Rus);3

Rahmanov V. (Rus);1
Petrov V. (Rus);3

Molokanov A. (Rus);2
Kutin V. (Rus);3

Glazun E. (Rus);3
Aleksandrovskiy M. (Rus);0

Suslov A. (Rus);3
Staroverov V. (Rus);0

Rahmanov V. (Rus);2
Shirshov A. (Rus);3

Shishko Y. (Rus);3
Merkushin Y. (Rus);2

Yakovlev A. (Rus);0
Sverdlov M. (Rus);3

Demic Y. (Rus);0
Petrov V. (Rus);3

Korneev D. (Rus);3
Frolov A. G. (Rus);0

Zubkov V. (Rus);3
Kolmin A. (Rus);0

Nirkov I. (Rus);1
Kupryakov E. (Rus);3

Kharchenko E. (Rus);3
Fedosov A. (Rus);1

Volkov P. (Ukr);3
Kuvaiev R. (Ukr);0

Zaporozhets O. (Ukr);3
Shmyndra Y. (Ukr);2

Pitsyk S. (Ukr);2
Polysynskyi M. (Ukr);3

Trunov Y. (Ukr);1
Babenko P. (Ukr);3

Vakhrushev V. (Ukr);2
Balakiriev M. (Ukr);3

Volkov P. (Ukr);2
Polysynskyi M. (Ukr);3

Kyi Y. (Ukr);2
Moroz K. (Ukr);3

Balakiriev M. (Ukr);3
Kuvaiev R. (Ukr);0

Chepurnyi A. (Ukr);3
Tkachov S. (Ukr);2

Pitsyk S. (Ukr);0
Vakhrushev V. (Ukr);3

Mishchenko O. (Ukr);3
Moroz K. (Ukr);1

Volkov P. (Ukr);3
Balakiriev M. (Ukr);0

Kyi Y. (Ukr);1
Chepurnyi A. (Ukr);3

Vakhrushev V. (Ukr);3
Polysynskyi M. (Ukr);0

Mishchenko O. (Ukr);2
Tkachov S. (Ukr);3

Pitsyk S. (Ukr);3
Kuvaiev R. (Ukr);0

Chepurnyi A. (Ukr);3
Moroz K. (Ukr);2

Volkov P. (Ukr);2
Vakhrushev V. (Ukr);3

Kyi Y. (Ukr);0
Tkachov S. (Ukr);3

Pitsyk S. (Ukr);3
Balakiriev M. (Ukr);2

Mishchenko O. (Ukr);1
Chepurnyi A. (Ukr);3

Polysynskyi M. (Ukr);3
Kuvaiev R. (Ukr);2

Tkachov S. (Ukr);2
Moroz K. (Ukr);3

Volkov P. (Ukr);2
Pitsyk S. (Ukr);3

Mishchenko O. (Ukr);3
Kyi Y. (Ukr);1

Vakhrushev V. (Ukr);2
Kuvaiev R. (Ukr);3

Balakiriev M. (Ukr);3
Polysynskyi M. (Ukr);0

Sydorak N. (Ukr);0
Nakliutskyi A. (Ukr);3

Reva V. (Ukr);1
Sydorenko V. (Ukr);3

Lymarenko O. (Ukr);1
Martyniuk A. (Ukr);3

Kostenko A. (Ukr);1
Yurenev O. (Ukr);3

Rak S. (Ukr);0
Nikolenko S. (Ukr);3

Kovalchuk K. (Ukr);1
Korobov A. (Ukr);3

Kozlov D. (Ukr);1
Skhabitskiy S. (Ukr);3

Semenets S. (Ukr);2
Tsoi K. (Ukr);3

Hordiichuk O. (Ukr);3
Kuzmych V. (Ukr);0

Trunov Y. (Ukr);0
Babenko P. (Ukr);3

Marchuk M. (Ukr);0
Sokolov S. (Ukr);3

Horak D. (Cze);3
Adamec L. (Cze);1

Tolstykh R. (Ukr);3
Tsyklauri D. (Ukr);1

Mytsyk A. (Ukr);3
Martyniuk A. (Ukr);2

Kononikhin V. (Ukr);0
Bryzhevatyi O. (Ukr);3

Shmyndra Y. (Ukr);1
Zaporozhets O. (Ukr);3

Sydorak N. (Ukr);1
Nikolenko S. (Ukr);3

Kyilo V. (Ukr);3
Yemelianov T. (Ukr);2

Semrad P. (Cze);3
Vesely F. (Cze);2

Reva V. (Ukr);0
Korobov A. (Ukr);3

Lymarenko O. (Ukr);3
Kozlov D. (Ukr);0

Kostenko A. (Ukr);3
Tsoi K. (Ukr);0

Kuzmych V. (Ukr);3
Nakliutskyi A. (Ukr);1

Trunov Y. (Ukr);1
Zaporozhets O. (Ukr);3

Oranskyi I. (Ukr);0
Sokolov S. (Ukr);3

Horak D. (Cze);3
Vesely F. (Cze);1

Tsyklauri D. (Ukr);2
Sydorenko V. (Ukr);3

Mytsyk A. (Ukr);2
Skhabitskiy S. (Ukr);3

Bryzhevatyi O. (Ukr);2
Yurenev O. (Ukr);3

Rak S. (Ukr);1
Hordiichuk O. (Ukr);3

Shmyndra Y. (Ukr);0
Babenko P. (Ukr);3

Marchuk M. (Ukr);0
Kyilo V. (Ukr);3

Semrad P. (Cze);3
Adamec L. (Cze);1

Kovalchuk K. (Ukr);3
Tolstykh R. (Ukr);0

Kozlov D. (Ukr);3
Martyniuk A. (Ukr);1

Semenets S. (Ukr);2
Kononikhin V. (Ukr);3

Sydorak N. (Ukr);1
Kuzmych V. (Ukr);3

Trunov Y. (Ukr);3
Shmyndra Y. (Ukr);2

Horak D. (Cze);2
Semrad P. (Cze);3

Oranskyi I. (Ukr);3
Yemelianov T. (Ukr);1

Reva V. (Ukr);3
Tsyklauri D. (Ukr);1

Lymarenko O. (Ukr);3
Skhabitskiy S. (Ukr);1

Kostenko A. (Ukr);3
Bryzhevatyi O. (Ukr);1

Hordiichuk O. (Ukr);0
Nikolenko S. (Ukr);3

Zaporozhets O. (Ukr);0
Babenko P. (Ukr);3

Kyilo V. (Ukr);2
Sokolov S. (Ukr);3

Vesely F. (Cze);2
Adamec L. (Cze);3

Tolstykh R. (Ukr);3
Korobov A. (Ukr);1

Mytsyk A. (Ukr);3
Kozlov D. (Ukr);2

Kononikhin V. (Ukr);0
Tsoi K. (Ukr);3

Rak S. (Ukr);2
Nakliutskyi A. (Ukr);3

Shmyndra Y. (Ukr);3
Trunov Y. (Ukr);1

Marchuk M. (Ukr);3
Yemelianov T. (Ukr);0

Kovalchuk K. (Ukr);3
Sydorenko V. (Ukr);0

Skhabitskiy S. (Ukr);3
Martyniuk A. (Ukr);2

Semenets S. (Ukr);2
Yurenev O. (Ukr);3

Babenko P. (Ukr);0
Zaporozhets O. (Ukr);3

Sydorak N. (Ukr);1
Hordiichuk O. (Ukr);3

Oranskyi I. (Ukr);1
Kyilo V. (Ukr);3

Reva V. (Ukr);0
Tolstykh R. (Ukr);3

Mytsyk A. (Ukr);3
Lymarenko O. (Ukr);0

Kostenko A. (Ukr);3
Kononikhin V. (Ukr);1

Babenko P. (Ukr);1
Shmyndra Y. (Ukr);3

Rak S. (Ukr);3
Kuzmych V. (Ukr);0

Yemelianov T. (Ukr);0
Sokolov S. (Ukr);3

Hobl L. (Cze);1
Ezr V. (Cze);3

Kovalchuk K. (Ukr);3
Tsyklauri D. (Ukr);1

Semenets S. (Ukr);2
Bryzhevatyi O. (Ukr);3

Nikolenko S. (Ukr);2
Nakliutskyi A. (Ukr);3

Zaporozhets O. (Ukr);1
Trunov Y. (Ukr);3

Oranskyi I. (Ukr);2
Marchuk M. (Ukr);3

Krames J. (Cze);1
Camr F. (Cze);3

Korobov A. (Ukr);2
Sydorenko V. (Ukr);3

Tsoi K. (Ukr);0
Yurenev O. (Ukr);3

Babenko P. (Ukr);3
Trunov Y. (Ukr);0

Hobl L. (Cze);3
Camr F. (Cze);2

Sydorak N. (Ukr);0
Rak S. (Ukr);3

Kostenko A. (Ukr);2
Semenets S. (Ukr);3

Reva V. (Ukr);2
Kovalchuk K. (Ukr);3

Hordiichuk O. (Ukr);2
Nakliutskyi A. (Ukr);3

Zaporozhets O. (Ukr);0
Shmyndra Y. (Ukr);3

Krames J. (Cze);3
Ezr V. (Cze);0

Kononikhin V. (Ukr);2
Yurenev O. (Ukr);3

Tolstykh R. (Ukr);1
Sydorenko V. (Ukr);3

Hobl L. (Cze);3
Krames J. (Cze);2

Kuzmych V. (Ukr);1
Nikolenko S. (Ukr);3

Tsyklauri D. (Ukr);3
Korobov A. (Ukr);0

Bryzhevatyi O. (Ukr);3
Tsoi K. (Ukr);0

Chaikovskyi B. (Ukr);1
Korobko V. (Ukr);3

Camr F. (Cze);3
Ezr V. (Cze);2

Efimenko I. (Ukr);3
Kurchitsky V. (Ukr);1

Chelpanov S. (Ukr);3
Dombrovskyi A. (Ukr);1

Tebenko Y. (Ukr);0
Ivanov L. (Ukr);3

Vlasenko V. (Ukr);1
Zhyrnov O. (Ukr);3

Makarenko R. (Ukr);2
Kurischenko Y. (Ukr);3

Obidnyi O. (Ukr);3
Lukianov A. (Ukr);1

Skhabovskyi M. (Ukr);1
Prokhoruk I. (Ukr);3

Tarasov Y. (Ukr);2
Hladkykh A. (Ukr);3

Trachuk V. (Ukr);2
Treshchetka M. (Ukr);3

Kotov V. (Ukr);-
Malashevsky V. (Ukr);-

Kotov V. (Ukr);3
Skhabovskyi M. (Ukr);1

Lysak A. (Ukr);3
Chupovskiy A. (Ukr);2

Trachuk V. (Ukr);3
Prokhoruk I. (Ukr);1

Demidov S. (Ukr);0
Lysak A. (Ukr);3

Malashevsky V. (Ukr);-
Treshchetka M. (Ukr);-

Skhabovskyi M. (Ukr);3
Treshchetka M. (Ukr);1

Golnik A. (Ukr);2
Chupovskiy A. (Ukr);3

Trachuk V. (Ukr);-
Malashevsky V. (Ukr);-

Trachuk V. (Ukr);2
Skhabovskyi M. (Ukr);3

Golnik A. (Ukr);3
Lysak A. (Ukr);1

Kotov V. (Ukr);3
Prokhoruk I. (Ukr);2

Demidov S. (Ukr);1
Chupovskiy A. (Ukr);3

Trachuk V. (Ukr);1
Kotov V. (Ukr);3

Golnik A. (Ukr);1
Demidov S. (Ukr);3

Lysak A. (Ukr);3
Chupovskiy A. (Ukr);2

Prokhoruk I. (Ukr);3
